,latitude,longitude,t2m,tp,swvl1
0,1,57,242.80711,6.506592e-05,0.15204878
1,1,57,241.86679,1.5616417e-05,0.15204878
2,1,57,242.56459,0.0,0.15204878
3,1,57,243.10638,5.2005053e-06,0.15204878
4,1,57,245.30614,1.821667e-05,0.15204878
5,1,57,244.04529,0.0,0.15204878
6,1,58,241.73206,2.862513e-05,0.15194358
7,1,58,242.8057,6.506592e-05,0.15194358
8,1,58,241.86539,1.5616417e-05,0.15194358
9,1,58,242.56459,0.0,0.15194358
10,1,58,243.10638,5.2005053e-06,0.15194358
11,1,58,245.3033,1.821667e-05,0.15194358
12,1,58,244.04529,0.0,0.15194358
13,1,59,241.73206,2.862513e-05,0.15183838
14,1,59,242.8057,6.506592e-05,0.15183838
15,1,59,241.86539,1.5616417e-05,0.15183838
16,1,59,242.56459,0.0,0.15183838
17,1,59,243.10779,5.2005053e-06,0.15183838
18,1,59,245.3033,1.821667e-05,0.15183838
19,1,59,244.04529,0.0,0.15183838
20,1,60,241.73206,2.862513e-05,0.15173317
21,1,60,242.8057,6.506592e-05,0.15173317
22,1,60,241.86539,1.5616417e-05,0.15173317
23,1,60,242.56459,0.0,0.15173317
24,1,60,243.10779,5.2005053e-06,0.15173317
25,1,60,245.30188,1.821667e-05,0.15173317
26,1,60,244.04529,0.0,0.15173317
27,1,61,241.73206,2.862513e-05,0.15162799
28,1,61,242.80287,6.506592e-05,0.15162799
29,1,61,241.86539,1.5616417e-05,0.15162799
30,1,61,242.56459,0.0,0.15162799
31,1,61,243.10779,5.2005053e-06,0.15162799
32,1,61,245.30046,1.821667e-05,0.15162799
33,1,61,244.04529,0.0,0.15162799
34,1,62,241.73206,2.862513e-05,0.1514994
35,1,62,242.80287,6.506592e-05,0.1514994
36,1,62,241.86539,1.5616417e-05,0.1514994
37,1,62,242.56459,0.0,0.1514994
38,1,62,243.10779,5.2005053e-06,0.1514994
39,1,62,245.29762,1.821667e-05,0.1514994
40,1,62,244.04529,0.0,0.1514994
41,1,63,241.73206,2.862513e-05,0.1513942
42,1,63,242.80287,6.506592e-05,0.1513942
43,1,63,241.86539,1.5616417e-05,0.1513942
44,1,63,242.56459,0.0,0.1513942
45,1,63,243.10779,5.2005053e-06,0.1513942
46,1,63,245.29762,1.821667e-05,0.1513942
47,1,63,244.04529,0.0,0.1513942
48,1,64,241.73206,2.862513e-05,0.151289
49,1,64,242.80145,6.506592e-05,0.151289
50,1,64,241.86539,1.5616417e-05,0.151289
51,1,64,242.56459,0.0,0.151289
52,1,64,243.10779,5.2005053e-06,0.151289
53,1,64,245.2962,1.821667e-05,0.151289
54,1,64,244.04529,0.0,0.151289
55,1,65,241.73206,2.862513e-05,0.1511838
56,1,65,242.80145,6.506592e-05,0.1511838
57,1,65,241.86539,1.5616417e-05,0.1511838
58,1,65,242.56459,0.0,0.1511838
59,1,65,243.10779,5.2005053e-06,0.1511838
60,1,65,245.29337,1.821667e-05,0.1511838
61,1,65,244.04529,0.0,0.1511838
62,1,66,241.73206,2.862513e-05,0.15107861
63,1,66,242.80145,6.506592e-05,0.15107861
64,1,66,241.86539,1.5616417e-05,0.15107861
65,1,66,242.56459,0.0,0.15107861
66,1,66,243.10779,5.2005053e-06,0.15107861
67,1,66,245.29196,1.821667e-05,0.15107861
68,1,66,244.04529,0.0,0.15107861
69,1,67,241.72922,2.862513e-05,0.15097341
70,1,67,242.79861,6.506592e-05,0.15097341
71,1,67,241.86539,1.5616417e-05,0.15097341
72,1,67,242.56459,0.0,0.15097341
73,1,67,243.10922,5.2005053e-06,0.15097341
74,1,67,245.29054,1.821667e-05,0.15097341
75,1,67,244.04529,0.0,0.15097341
76,1,68,241.72922,2.862513e-05,0.1508682
77,1,68,242.79861,6.506592e-05,0.1508682
78,1,68,241.86539,1.5616417e-05,0.1508682
79,1,68,242.56459,0.0,0.1508682
80,1,68,243.10922,5.2005053e-06,0.1508682
81,1,68,245.29054,1.821667e-05,0.1508682
82,1,68,244.04529,0.0,0.1508682
83,1,69,241.72922,2.862513e-05,0.15075132
84,1,69,242.7972,6.506592e-05,0.15075132
85,1,69,241.86539,1.5616417e-05,0.15075132
86,1,69,242.56459,0.0,0.15075132
87,1,69,243.10922,5.2005053e-06,0.15075132
88,1,69,245.2877,1.821667e-05,0.15075132
89,1,69,244.04529,0.0,0.15075132
90,1,70,241.72922,2.862513e-05,0.15064612
91,1,70,242.7972,6.506592e-05,0.15064612
92,1,70,241.86539,1.5616417e-05,0.15064612
93,1,70,242.56459,0.0,0.15064612
94,1,70,243.10922,5.2005053e-06,0.15064612
95,1,70,245.28629,1.821667e-05,0.15064612
96,1,70,244.04529,0.0,0.15064612
97,1,71,241.72922,2.862513e-05,0.15054092
98,1,71,242.7972,6.506592e-05,0.15054092
99,1,71,241.86539,1.5616417e-05,0.15054092
100,1,71,242.56459,0.0,0.15054092
101,1,71,243.10922,5.2005053e-06,0.15054092
102,1,71,245.28487,1.821667e-05,0.15054092
103,1,71,244.04529,0.0,0.15054092
104,1,72,241.72922,2.862513e-05,0.15043572
105,1,72,242.79578,6.506592e-05,0.15043572
106,1,72,241.86539,1.5616417e-05,0.15043572
107,1,72,242.56459,0.0,0.15043572
108,1,72,243.10922,5.2005053e-06,0.15043572
109,1,72,245.28487,1.821667e-05,0.15043572
110,1,72,244.04529,0.0,0.15043572
111,1,73,241.72922,2.862513e-05,0.15033051
112,1,73,242.79578,6.506592e-05,0.15033051
113,1,73,241.86539,1.5616417e-05,0.15033051
114,1,73,242.56459,0.0,0.15033051
115,1,73,243.10922,5.2005053e-06,0.15033051
116,1,73,245.28203,1.821667e-05,0.15033051
117,1,73,244.04529,0.0,0.15033051
118,1,74,241.72922,2.862513e-05,0.15020195
119,1,74,242.79578,6.506592e-05,0.15020195
120,1,74,241.86539,1.5616417e-05,0.15020195
121,1,74,242.56459,0.0,0.15020195
122,1,74,243.11205,5.2005053e-06,0.15020195
123,1,74,245.28061,1.821667e-05,0.15020195
124,1,74,244.04529,0.0,0.15020195
125,1,75,241.72922,2.862513e-05,0.15009674
126,1,75,242.79294,6.506592e-05,0.15009674
127,1,75,241.86539,1.5616417e-05,0.15009674
128,1,75,242.56459,0.0,0.15009674
129,1,75,243.11205,5.2005053e-06,0.15009674
130,1,75,245.27777,1.821667e-05,0.15009674
131,1,75,244.04529,0.0,0.15009674
132,1,76,241.72922,2.862513e-05,0.14999154
133,1,76,242.79294,6.506592e-05,0.14999154
134,1,76,241.86539,1.5616417e-05,0.14999154
135,1,76,242.56459,0.0,0.14999154
136,1,76,243.11205,5.2005053e-06,0.14999154
137,1,76,245.27635,1.821667e-05,0.14999154
138,1,76,244.04529,0.0,0.14999154
139,1,77,241.72922,2.862513e-05,0.14988634
140,1,77,242.79294,6.506592e-05,0.14988634
141,1,77,241.86539,1.5616417e-05,0.14988634
142,1,77,242.56459,0.0,0.14988634
143,1,77,243.11205,5.2005053e-06,0.14988634
144,1,77,245.27635,1.821667e-05,0.14988634
145,1,77,244.04529,0.0,0.14988634
146,1,78,241.72922,2.862513e-05,0.14978114
147,1,78,242.79152,6.506592e-05,0.14978114
148,1,78,241.86539,1.5616417e-05,0.14978114
149,1,78,242.56459,0.0,0.14978114
150,1,78,243.11205,5.2005053e-06,0.14978114
151,1,78,245.27493,1.821667e-05,0.14978114
152,1,78,244.04529,0.0,0.14978114
153,1,79,241.72781,2.862513e-05,0.14967594
154,1,79,242.79152,6.506592e-05,0.14967594
155,1,79,241.86539,1.5616417e-05,0.14967594
156,1,79,242.56459,0.0,0.14967594
157,1,79,243.11205,5.2005053e-06,0.14967594
158,1,79,245.2721,1.821667e-05,0.14967594
159,1,79,244.04529,0.0,0.14967594
160,1,80,241.72781,2.862513e-05,0.14957075
161,1,80,242.78868,6.506592e-05,0.14957075
162,1,80,241.86539,1.5616417e-05,0.14957075
163,1,80,242.56459,0.0,0.14957075
164,1,80,243.11205,5.2005053e-06,0.14957075
165,1,80,245.27068,1.821667e-05,0.14957075
166,1,80,244.04529,0.0,0.14957075
167,1,81,241.72781,2.862513e-05,0.14946555
